desc,number,voltage,source,srcBreak,srcName,mounting,siteNo,siteName,_predicate,geometry,latlon,lon,lat,size
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,310017,ST THOMAS 33/11KV S/STN,INTERSECTS,POINT (290953.616 92231.144),"(-3.5461080249185564, 50.71944204499772)",-3.5461080249185564,50.71944204499772,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,310017,ST THOMAS 33/11KV S/STN,INTERSECTS,POINT (290954.396 92237.25600000001),"(-3.5460956399347383, 50.719496169201726)",-3.5460956399347383,50.719496169201726,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,310020,ATHELSTAN ROAD 33/11KV S/STN,INTERSECTS,POINT (292654.78 92668.20300000001),"(-3.5221483640355666, 50.72368748708073)",-3.5221483640355666,50.72368748708073,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,310020,ATHELSTAN ROAD 33/11KV S/STN,INTERSECTS,POINT (292661.348 92665.98),"(-3.5220483575151023, 50.723661813187036)",-3.5220483575151023,50.723661813187036,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (296986.966 93838.385),"(-3.461125387775969, 50.73499051531159)",-3.461125387775969,50.73499051531159,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (294863.907 92254.517),"(-3.490746484489752, 50.72037013209776)",-3.490746484489752,50.72037013209776,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,,,INTERSECTS,POINT (294863.616 92255.605),"(-3.4907467698046206, 50.72037912172041)",-3.4907467698046206,50.72037912172041,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,310022,MARSH BARTON 33/11KV S/STN,INTERSECTS,POINT (292119.771 90709.31),"(-3.5291515797104047, 50.705977921705106)",-3.5291515797104047,50.705977921705106,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,310022,MARSH BARTON 33/11KV S/STN,INTERSECTS,POINT (292122.193 90701.17),"(-3.529106770465636, 50.70590656305444)",-3.529106770465636,50.70590656305444,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,310060,EXETER SCIENCE PARK 33KV/11KV S/STN,INTERSECTS,POINT (297000.498 93838.322),"(-3.4609270695335477, 50.73499300100413)",-3.4609270695335477,50.73499300100413,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,318146,COOMBE FARM 33KV SOLAR PARK 33KV S/STN,INTERSECTS,POINT (301497.396 85055.774),"(-3.39487819677801, 50.65681451459886)",-3.39487819677801,50.65681451459886,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,318110,LIVERTON FARM 33KV SOLAR PARK 33KV/ S/ST,INTERSECTS,POINT (303561.572 82880.797),"(-3.3651209242120093, 50.63760660751744)",-3.3651209242120093,50.63760660751744,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,318164,GREAT HOUNDBEARE 33KV SOLAR PARK 33KV S/,INTERSECTS,POINT (304813.532 93247.937),"(-3.3500942643468226, 50.73101441232593)",-3.3500942643468226,50.73101441232593,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,310037,WITHYCOMBE RALEIGH 33/11KV S/STN,INTERSECTS,POINT (301519.263 82334.39600000001),"(-3.3938429313283662, 50.63235611678605)",-3.3938429313283662,50.63235611678605,10
