Unnamed: 0.1,Unnamed: 0,Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,lonlat,In Use,lon,lat,bins2,bins3,Speed10m,Marker,Speed25m,speedCat
805,805,B1011,3637,02/12/2015,RWE Renewables,Kirkby Moor Repowering,Wind Onshore,,,18.0,,0.9,,,3.0,6.0,115.0,,Planning Permission Refused,Application Refused,,,"Land at Kirkby Moor Wind Farm, Kirkby-In-Furness, Cumbria",Cumbria,North West,England,LA1 7,324960.0,483215.0,South Lakeland District Council,SL/2014/1220,,,,,,28/02/2015,,26/11/2015,,,,,,,,,,,,,"(-3.152881446671133, 54.2391095304448)",Refused,-3.152881446671133,54.2391095304448,10,Wind Onshore,1,y-up,1,8 - 9
806,806,IF1124,3638,26/05/2020,Stamford Renewable Power,Laurels Farm ,Wind Onshore,,,2.0,,,,,2.0,1.0,,,Appeal Granted,Awaiting Construction,,3730,"Laurels Farm, Shipmeadow, Beccles, ",Suffolk,Eastern,England,NR34 8HD,638340.0,289150.0,Waveney District Council,DC/12/1332/FUL,,,,,,29/11/2012,,09/04/2013,,,,02/04/2014,02/04/2014,,,,,,,,"(1.5059543228320644, 52.44828089650452)",Granted,1.5059543228320644,52.44828089650452,10,Wind Onshore,1,y-up,1,5.5 - 6
807,807,C2875,3639,31/10/2019,Private Developer,Linburn Farm,Wind Onshore,,,1.7,,,,,0.85,2.0,,,Planning Permission Expired,Planning Permission Expired,,3640,Linburn Farm B743 From U751 Tardoes Crossflat To U731 Greenock Water Muirkirk ,Strathclyde,Scotland,Scotland,,266311.0,628312.0,East Ayrshire Council,14/0229/PP,PPA-190-2045,,,,,18/03/2014,,02/03/2015,21/04/2015,,,05/11/2015,05/11/2015,,,,05/11/2018,,,,"(-4.119603680308392, 55.5301722296291)",Granted,-4.119603680308392,55.5301722296291,10,Wind Onshore,1,y-up,1,5.5 - 6
808,808,C1593,3640,14/05/2014,Private Developer,Linburn Farm (resubmission),Wind Onshore,,,1.7,,,,,0.85,2.0,,,Revised,Revised,3639.0,,Linburn Farm B743 From U751 Tardoes Crossflat To U731 Greenock Water Muirkirk,Strathclyde,Scotland,Scotland,,266311.0,628312.0,East Ayrshire Council,13/0416/PP,,,,,,17/06/2013,10/03/2014,,,,,,,,,,,,,,"(-4.119603680308392, 55.5301722296291)",Withdrawn,-4.119603680308392,55.5301722296291,10,Wind Onshore,1,y-up,1,5.5 - 6
809,809,EN00430,3641,29/06/2011,Ecotricity,Lotus Manufacturing,Wind Onshore,,,6.0,,,,,2.0,3.0,,,Planning Permission Refused,Application Refused,,,"Land at Group Lotus PLC, Potash Lane, Hethel, Wymondham, South Norfolk",Norfolk,Eastern,England,,615050.0,300820.0,South Norfolk Council,2007/1427,,,,,,28/06/2007,,09/10/2007,,,,,,,,,,,,,"(1.17135796143208, 52.56268883545988)",Refused,1.17135796143208,52.56268883545988,10,Wind Onshore,1,y-up,1,5.5 - 6
810,810,B0505,3642,31/03/2017,Whirlwind Renewables,Bonwick,Wind Onshore,,,17.0,,,,,3.4,5.0,132.0,,Planning Permission Refused,Application Refused,,,Low Bonwick Farm Skipsea Road Bewholme East Riding Of Yorkshire YO25 8EE,Humberside,Yorkshire and Humber,England,YO25 8EE,516050.0,452071.0,East Riding of Yorkshire Council,15/00517/STPLFE,,,,,,05/03/2015,,27/02/2017,,,,,,,,,,,,,"(-0.23308275728421976, 53.95172875877759)",Refused,-0.2330827572842197,53.95172875877759,10,Wind Onshore,1,y-up,1,6 - 6.5
811,811,C3001,3643,22/05/2015,Greencoat UK Wind,Maerdy extension,Wind Onshore,,,3.0,,,,,3.0,1.0,,,Abandoned,Abandoned,,,Land between Maerdy Coal Tip and Tynewydd Forest,Mid Glamorgan,Wales,Wales,,295856.0,199544.0,Rhondda Cynon Taff County Borough Council,14/0556/10,,,,,,01/05/2014,,,,,,,22/12/2014,,,,09/02/2015,,,,"(-3.5078591128030996, 51.684965011676994)",Granted,-3.5078591128031,51.684965011676994,10,Wind Onshore,1,y-up,1,6.5 - 7
812,812,C2884,3644,06/11/2014,Muirden Energy,Mains Of Collithie,Wind Onshore,,,2.4,,,,,0.8,3.0,,,Planning Permission Refused,Application Refused,,,Land To South West Of Mains Of Collithie Gartly Huntly,Grampian,Scotland,Scotland,AB54 4PW,350669.0,834804.0,Aberdeenshire Council,APP/2014/1032,,,,,,05/03/2014,,25/08/2014,,,,,,,,,,,,,"(-2.8225457981574884, 57.40094596496855)",Refused,-2.8225457981574884,57.40094596496855,10,Wind Onshore,1,y-up,1,5.5 - 6
813,813,C1436,3645,29/04/2016,Seneca Global Energy,Melton Waste Park,Wind Onshore,,,5.0,,,,,2.5,2.0,119.0,,Revised,Revised,4995.0,,Land South West Of Melton Waste Park Gibson Lane South Melton ,Humberside,Yorkshire and Humber,England,,496525.0,425211.0,East Riding of Yorkshire Council,13/01806/STPLFE,,,,,,14/06/2013,,,,,,,19/12/2013,,,,,,,,"(-0.5389161056775312, 53.71439892883502)",Granted,-0.5389161056775312,53.71439892883502,10,Wind Onshore,1,y-up,1,5.5 - 6
814,814,B0606,3646,20/09/2013,Community Windpower,Millour Hill Community Windfarm (Extension),Wind Onshore,,,6.0,,,,,3.0,2.0,,,Revised,Revised,4235.0,,"Site To North Of Baidland Hill, Dalry, Ayrshire",Strathclyde,Scotland,Scotland,,225820.0,652480.0,North Ayrshire Council,12/00526/PP,,,,,,20/09/2012,,05/06/2013,,,,,,,,,,,,,"(-4.775668100050978, 55.73430342445757)",Refused,-4.775668100050978,55.73430342445757,10,Wind Onshore,1,y-up,1,7.5 - 8
815,815,B0713,3647,26/05/2016,Eneco,Moy Wind Farm (2nd Application),Wind Onshore,,,66.0,,,,,3.3,20.0,,,Operational,Operational,,,"Tomatin, Invernessshire",Highland,Scotland,Scotland,IV13 7YD,276947.0,835012.0,Scottish Government (S36),,,,,,,22/04/2013,,,,,,,24/01/2014,,,,,22/04/2014,12/05/2016,,"(-4.048801273033511, 57.388833752548955)",Operational,-4.048801273033511,57.38883375254896,10,Wind Onshore,1,y-up,1,Under 5.5
816,816,04037W4,3648,06/06/2014,Zond (UK) Ltd (Enron Wind Overseas Development),Mynydd y Gwynt Wind Farm,Wind Onshore,,,89.1,,,,,3.3,27.0,,,Revised,Revised,4402.0,,"Mynydd y Gwynt, Lllangurig, Llanidloes, Powys",Powys,Wales,Wales,,283850.0,284250.0,DECC (S36),,,,,,,24/04/2014,22/05/2014,,,,,,,,,,,,,,"(-3.710295406706807, 52.44383122492324)",Withdrawn,-3.710295406706807,52.44383122492324,10,Wind Onshore,1,y-up,1,7 - 7.5
817,817,C2535,3650,19/05/2014,Clearwinds,Redhill Farms,Wind Onshore,,,6.0,,,,,2.0,3.0,,,Planning Permission Refused,Application Refused,,,"Site to South West of East Redhill, Rothienorman, Inverurie",Grampian,Scotland,Scotland,,367983.0,836360.0,Aberdeenshire Council,APP/2013/3856,,,,,,10/12/2013,,19/05/2014,,,,,,,,,,,,,"(-2.5346523506321827, 57.416474496340015)",Refused,-2.5346523506321827,57.416474496340015,10,Wind Onshore,1,y-up,1,7.5 - 8
818,818,B1318,3651,16/02/2016,Green Cat Renewables,Rosehill Wind Turbines,Wind Onshore,,,2.4,,,,,0.8,3.0,,,Operational,Operational,,,Land Some 550 Metres East Of Rosehill Rosehill Road Tower Plean,Stirling,Scotland,Scotland,,286252.0,686188.0,Stirling Council,12/00708/FUL,13/00017/REF,,,,,31/10/2012,,10/09/2013,,,,24/04/2014,24/04/2014,,,,,15/05/2015,15/12/2015,,"(-3.828063050280963, 56.05498296460022)",Operational,-3.828063050280963,56.05498296460022,10,Wind Onshore,1,y-up,1,5.5 - 6
819,819,C1391,3652,23/09/2013,Volkswind UK Ltd,Spaldington Common wind cluster,Wind Onshore,,,5.0,,,,,2.5,2.0,,,Planning Permission Refused,Application Refused,,2784,Land South West Of Ivy House Farm Holme Road Spaldington ,Humberside,Yorkshire and Humber,England,,478066.0,432596.0,East Riding of Yorkshire Council,13/00698/STPLFE,,,,,,08/04/2013,,23/09/2013,,,,,,,,,,,,,"(-0.8166733069567865, 53.783844587052094)",Refused,-0.8166733069567865,53.783844587052094,10,Wind Onshore,1,y-up,1,5.5 - 6
820,820,B0608,3654,18/12/2012,J & G Energy Ltd,Yonderton Farm ,Wind Onshore,,,1.0,,,,,1.0,1.0,,,Planning Permission Refused,Application Refused,,3729,"Hatton, Peterhead, Aberdeenshire",Grampian,Scotland,Scotland,AB42 0QS,403579.0,837831.0,Aberdeenshire Council,APP/2011/3206,,,,,,20/09/2011,,31/08/2012,,,,,,,,,,,,,"(-1.9420457445305144, 57.43080997364917)",Refused,-1.9420457445305144,57.43080997364917,10,Wind Onshore,1,y-up,1,6.5 - 7
821,821,AA682,3655,15/06/2012,Yowlie Energy Ltd,Yowlie Wind Cluster,Wind Onshore,,,3.2,,,,,0.8,4.0,,,Planning Permission Refused,Application Refused,,,"Douglashead Farm, Tarves, Ellon",Grampian,Scotland,Scotland,AB41 7LU,390214.0,831922.0,Aberdeenshire Council,APP/2011/4273,,,,,,10/01/2012,,01/05/2012,,,,,,,,,,,,,"(-2.164386627788403, 57.377637140761145)",Refused,-2.164386627788403,57.377637140761145,10,Wind Onshore,1,y-up,1,6.5 - 7
822,822,B0883,3657,26/04/2017,NTR,Twin Rivers,Wind Onshore,,,28.7,,,,,2.05,14.0,,,Operational,Operational,,,"Moor Lane, Whitgift, East Riding of Yorkshire",Humberside,Yorkshire and Humber,England,,472545.0,412960.0,East Riding of Yorkshire Council,04/00505/STPLFE,,,,,,20/01/2004,,,,,,,05/01/2009,,,,,15/05/2015,03/08/2016,,"(-0.9050362429897694, 53.60818380959787)",Operational,-0.9050362429897694,53.60818380959787,10,Wind Onshore,1,y-up,1,5.5 - 6
823,823,06017W4,3659,08/10/2013,Border Wind Farms Ltd,Blyth Harbour Wind Farm,Wind Onshore,,,2.7,,,,,0.3,9.0,,,Operational,Operational,,,"Blyth Harbour
North Blyth
Cambois
Bedlington
Northumberland",Northumberland,North East,England,,432290.0,581345.0,Northumberland County Council,91/00011/181OTH,,,,,,23/05/1991,,,,,,,06/03/1992,,,,,,01/12/1992,,"(-1.4951909213048764, 55.12543827448607)",Operational,-1.4951909213048764,55.12543827448607,10,Wind Onshore,1,y-up,1,6.5 - 7
824,824,10035W4,3660,06/11/2013,John Laing Environmental Assets Group,Penrhys Wind Farm/Ferndale Power Factory,Wind Onshore,,,6.4,,,,,0.8,8.0,,,Operational,Operational,,,"Penrhys
Rhondda
Mid Glamorgan",Mid Glamorgan,Wales,Wales,,299700.0,195700.0,Rhondda Cynon Taff County Borough Council,03/0226,App/L6940/A/04/754,,,,,11/02/2003,,09/01/2004,,,,01/03/2005,01/03/2005,,,,,01/04/2010,08/06/2011,,"(-3.451169837172874, 51.65111448815072)",Operational,-3.451169837172874,51.65111448815072,10,Wind Onshore,1,y-up,1,Under 5.5
825,825,13004W5,3662,04/07/2012,Scottish and Southern Energy (SSE),Gordonbush,Wind Onshore,,,70.0,,,,,2.0,35.0,,,Operational,Operational,,,"Gordonbush Estate, Brora, Sutherland, Highlands",Highland,Scotland,Scotland,,284500.0,909500.0,Scottish Government (S36),,,,,,,17/06/2003,,,,,,,09/04/2008,,,,,01/07/2010,12/06/2012,,"(-3.9590510483295027, 58.05949501787167)",Operational,-3.959051048329503,58.05949501787167,10,Wind Onshore,1,y-up,1,7 - 7.5
826,826,A0001,3663,17/09/2020,Renewable Energy Systems (RES),Llanbrynmair Wind Farm,Wind Onshore,,,69.0,,,,,2.3,30.0,,,Planning Application Submitted,Application Submitted,,,"Llanbrynmair , Powys",Powys,Wales,Wales,SY19 7,293294.0,308952.0,DECC (S36),,,,,30/12/2015,,09/01/2009,,,,,,,,,,,,,,,"(-3.579363095502596, 52.66774182116501)",Not Yet,-3.579363095502596,52.66774182116501,10,Wind Onshore,1,y-up,1,8 - 9
827,827,A0013,3664,27/02/2014,Wessex Water Engineering Services,Avonmouth Wind Power,Wind Onshore,,,8.2,,,,,2.05,4.0,,,Operational,Operational,,,"Bristol Sewage Treatment Work, Bristol, BS11 0YS",Avon,South West,England,,353358.0,179393.0,Bristol City Council,08/04925/F,,,,,,08/12/2008,,,,,,,25/03/2009,,,,,03/12/2012,06/02/2014,,"(-2.6734973354054814, 51.51152720408625)",Operational,-2.6734973354054814,51.51152720408625,10,Wind Onshore,1,y-up,1,Under 5.5
